Task,Instance,Frame 
1,1,1 
2,1,1 
3,1,1 
2,2,5 
3,2,6 
1,2,7 
2,3,9 
3,3,11 
1,3,13 
2,4,13 
3,4,16 
2,5,17 
1,4,19 
2,6,21 
3,5,21 
1,5,25 
2,7,25 
3,6,26 
2,8,29 
1,6,31 
3,7,31 
2,9,33 
3,8,36 
1,7,37 
2,10,37 
2,11,41 
3,9,41 
1,8,43 
2,12,45 
3,10,46 
1,9,49 
2,13,49 
3,11,51 
2,14,53 
1,10,55 
3,12,56 
2,15,57 
