Task,Instance,Frame 
1,1,1 
2,1,1 
3,1,1 
4,2,2 
2,2,3 
4,2,3 
1,2,4 
2,3,5 
3,2,5 
4,3,5 
1,3,7 
2,4,7 
4,4,7 
2,5,9 
3,3,9 
4,5,9 
1,4,10 
2,6,11 
4,6,11 
